,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC
761,JavaScript,node,benchmark/crypto/cipher-stream.js,"legacyWrite(alice,bob,message,encoding,writes)",2,2020-08-11 18:36:51-07:00,16,0.2,86.0,101.0,5,24,9,15,4,2507,0.001994415636218588,0.3492252681764005,72977,16379,31653,4195,2,2,2,2
762,JavaScript,lodash,padEnd.js,"padEnd(string,length,chars)",5,2020-06-03 22:35:27-07:00,6,0.6666666666666666,25.0,30.0,5,14,9,5,2,962,0.005197505197505198,0.6696383087111564,46492,558,7998,3926,4,4,4,5
763,JavaScript,three.js,examples/jsm/utils/RoughnessMipmapper.js,generateMipmaps(material),19,2020-08-11 22:49:33+01:00,47,0.29936305732484075,39.0,108.0,6,130,61,69,2,166,0.03614457831325301,0.9362150764364786,63402,1380,34991,3794,19,19,19,19
764,JavaScript,next.js,packages/next/next-server/lib/loadable.js,retry(),6,2020-08-11 17:49:34+00:00,25,0.09505703422053233,219.0,260.0,5,34,32,2,3,230,0.021739130434782608,0.7879003558718861,53234,2997,6947,1405,6,6,6,6
765,JavaScript,node,lib/internal/cluster/child.js,"cluster._getServer(obj,options,cb)",6,2020-08-11 18:36:51-07:00,27,0.1534090909090909,57.0,109.0,5,61,9,52,4,995,0.005025125628140704,0.6884386174016687,72977,16379,31653,4195,3,6,6,6
766,JavaScript,node,tools/node_modules/eslint/lib/rules/object-curly-spacing.js,checkForObject(node),2,2020-08-11 18:36:51-07:00,10,0.054945054945054944,227.0,238.0,7,33,31,2,4,1245,0.005622489959839358,0.60119189511323,72977,16379,31653,4195,2,2,2,2
767,JavaScript,node,lib/internal/repl/utils.js,"isRecoverableError(e,code)",4,2020-08-11 18:36:51-07:00,18,0.034416826003824084,59.0,129.0,8,177,47,130,4,345,0.02318840579710145,0.8238379022646007,72977,16379,31653,4195,4,4,4,4
768,JavaScript,node,tools/node_modules/eslint/node_modules/glob/sync.js,"GlobSync.prototype._readdirEntries(abs,entries)",5,2020-08-11 18:36:51-07:00,14,0.04011461318051576,295.0,314.0,4,59,2,57,4,1099,0.003639672429481347,0.5129916567342074,72977,16379,31653,4195,5,5,5,5
769,JavaScript,node,test/sequential/test-gc-http-client.js,status(),2,2020-08-11 18:36:51-07:00,6,0.13636363636363635,54.0,59.0,6,22,7,15,5,2336,0.0025684931506849314,0.2798569725864124,72977,16379,31653,4195,2,2,2,2
770,JavaScript,lodash,sum.js,sum(array),3,2020-06-03 22:35:27-07:00,5,0.7142857142857143,15.0,19.0,5,8,4,4,2,61,0.08196721311475409,0.6696383087111564,46492,558,7998,3926,3,3,3,3
771,JavaScript,node,tools/node_modules/eslint/lib/rules/yield-star-spacing.js,checkExpression(node),2,2020-08-11 18:36:51-07:00,11,0.12222222222222222,108.0,120.0,5,42,14,28,2,693,0.007215007215007215,0.6097735399284863,72977,16379,31653,4195,2,2,2,2
772,JavaScript,node,tools/node_modules/eslint/node_modules/lodash/_compareMultiple.js,"compareMultiple(object,other,orders)",5,2020-08-11 18:36:51-07:00,18,0.9,17.0,42.0,5,100,1,99,5,979,0.005107252298263534,0.5418355184743743,72977,16379,31653,4195,5,5,5,5
773,JavaScript,node,tools/node_modules/eslint/lib/rules/new-cap.js,extractNameFromExpression(node),3,2020-08-11 18:36:51-07:00,5,0.031055900621118005,160.0,164.0,7,52,30,22,4,1900,0.0036842105263157894,0.5418355184743743,72977,16379,31653,4195,6,6,3,3
774,JavaScript,angular.js,src/ngAnimate/animateQueue.js,"enabled(element,bool)",5,2020-07-30 18:44:04+03:00,22,0.04536082474226804,290.0,321.0,6,41,10,31,2,1205,0.004979253112033195,0.8950359984842744,59508,1119,9020,18473,7,4,4,5
775,JavaScript,node,tools/node_modules/eslint/lib/rules/func-name-matching.js,VariableDeclarator(node),6,2020-08-11 18:36:51-07:00,8,0.04878048780487805,177.0,184.0,4,16,2,14,2,450,0.008888888888888889,0.6676996424314661,72977,16379,31653,4195,5,5,6,6
776,JavaScript,three.js,examples/jsm/loaders/NodeMaterialLoader.js,getObjectById(uuid),5,2020-08-11 22:49:33+01:00,7,0.04827586206896552,103.0,111.0,4,20,4,16,1,536,0.007462686567164179,0.7506589351607802,63402,1380,34991,3794,3,5,5,5
777,JavaScript,three.js,src/loaders/ImageBitmapLoader.js,"load(url,onLoad,onProgress,onError)",5,2020-08-11 22:49:33+01:00,14,0.28,38.0,93.0,12,195,51,144,2,1095,0.010958904109589041,0.6974169741697417,63402,1380,34991,3794,5,5,5,5
778,JavaScript,three.js,examples/js/animation/MMDPhysics.js,generateShape(p),4,2020-08-11 22:49:33+01:00,12,0.015018773466833541,884.0,902.0,4,31,13,18,2,1294,0.0030911901081916537,0.5461254612546126,63402,1380,34991,3794,4,4,4,4
779,JavaScript,incubator-echarts,dist/echarts-en.common.js,echartsProto.getDataURL(opts),6,2020-08-05 17:02:10+08:00,19,0.0004965502822496342,28177.0,28212.0,8,144,81,63,2,1598,0.0050062578222778474,0.3775624301155423,42860,643,5984,2683,4,4,5,6
780,JavaScript,lodash,uniqBy.js,"uniqBy(array,iteratee)",3,2020-06-03 22:35:27-07:00,5,0.7142857142857143,21.0,25.0,5,8,4,4,2,70,0.07142857142857142,0.6696383087111564,46492,558,7998,3926,3,3,3,3
781,JavaScript,next.js,packages/next/client/dev/error-overlay/hot-dev-client.js,"handleApplyUpdates(err,updatedModules)",10,2020-08-11 17:49:34+00:00,31,0.14553990610328638,267.0,306.0,8,92,11,81,3,664,0.012048192771084338,0.507473309608541,53234,2997,6947,1405,7,7,10,10
782,JavaScript,node,lib/internal/crypto/cipher.js,"Cipheriv(cipher,key,iv,options)",2,2020-08-11 18:36:51-07:00,5,0.022026431718061675,223.0,228.0,7,44,39,5,5,217,0.03225806451612903,0.7475566150178784,72977,16379,31653,4195,2,6,6,2
